"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.05.2026","14,403","14,404","14,404","14,403","21,49K","-99,99%"
"19.05.2026","99.520,680","14,401","99.520,680","14,400","155,17K","0,05%"
"18.05.2026","99.467,539","14,405","14,405","14,400","19,66K","0,05%"
"15.05.2026","99.414,367","14,400","14,403","14,400","104,45K","0,05%"
"14.05.2026","99.361,344","14,400","14,403","14,400","39,44K","0,05%"
"13.05.2026","99.308,391","14,402","14,403","14,400","43,91K","0,05%"
"12.05.2026","99.255,297","14,404","14,404","14,400","53,12K","0,05%"
"11.05.2026","99.202,422","14,404","14,404","14,400","69,20K","0,05%"
"08.05.2026","99.149,422","14,400","14,401","14,400","51,83K","0,05%"
"07.05.2026","99.096,563","14,402","14,403","14,400","38,45K","0,05%"
"06.05.2026","99.043,609","14,402","14,402","14,400","45,08K","0,05%"
"05.05.2026","98.990,813","14,400","14,403","14,400","24,16K","0,05%"
"04.05.2026","98.937,906","14,404","14,404","14,400","248,81K","-1,01%"
"30.04.2026","99.946,633","14,400","14,410","14,392","60,90K","0,05%"
"29.04.2026","99.892,328","14,532","14,545","14,530","597,83K","0,05%"
"28.04.2026","99.838,031","14,604","14,604","14,570","329,88K","0,05%"
"27.04.2026","99.783,797","14,624","14,624","14,592","80,47K","0,05%"
"24.04.2026","99.729,750","14,620","14,625","14,603","165,30K","0,05%"
"23.04.2026","99.675,477","14,588","14,630","14,588","36,75K","0,05%"
"22.04.2026","99.621,797","14,611","14,627","14,611","67,06K","0,05%"
"20.04.2026","99.567,508","14,590","14,635","14,590","86,08K","0,05%"
"17.04.2026","99.513,578","14,621","14,630","14,621","61,74K","0,05%"
"16.04.2026","99.459,711","14,635","14,635","14,626","80,01K","0,05%"
"15.04.2026","99.405,961","14,610","14,637","14,610","398,95K","0,05%"
"14.04.2026","99.351,719","14,640","14,641","14,633","74,60K","0,05%"
"13.04.2026","99.297,883","14,645","14,645","14,633","101,00K","0,05%"
"10.04.2026","99.243,883","14,644","14,644","14,635","50,87K","0,05%"
"09.04.2026","99.190,148","14,639","14,642","14,632","100,36K","0,05%"
"08.04.2026","99.136,391","14,642","14,642","14,629","112,71K","0,05%"
"07.04.2026","99.082,609","14,635","14,642","14,635","120,17K","0,05%"
"06.04.2026","99.029,031","14,630","14,642","14,630","62,93K","0,05%"
"02.04.2026","98.975,102","14,636","14,642","14,627","96,54K","0,05%"
"01.04.2026","98.921,859","14,642","14,644","14,634","429,52K","-1,02%"
"31.03.2026","99.945,758","14,635","14,652","14,632","102,90K","0,05%"
"30.03.2026","99.891,563","14,601","14,653","14,601","241,78K","0,05%"
"27.03.2026","99.837,453","14,640","14,653","14,630","182,64K","0,05%"
"26.03.2026","99.783,227","14,640","14,651","14,639","214,34K","0,05%"
"25.03.2026","99.729,133","14,649","14,650","14,646","102,95K","0,05%"
"24.03.2026","99.675,078","14,646","14,650","14,645","166,88K","0,05%"
"23.03.2026","99.621,008","14,650","14,650","14,635","227,01K","0,05%"
"20.03.2026","99.566,852","14,650","14,656","14,644","368,36K","0,05%"
"19.03.2026","99.512,898","14,654","14,669","14,649","1,02M","0,06%"
"18.03.2026","99.457,156","14,701","14,730","14,687","3,07M","0,06%"
"17.03.2026","99.401,953","14,716","14,776","14,693","3,15M","0,05%"
"16.03.2026","99.347,922","14,730","14,756","14,722","1,55M","0,06%"
"13.03.2026","99.291,180","14,762","14,806","14,737","2,69M","0,05%"
"12.03.2026","99.238,977","14,728","14,801","14,710","1,74M","0,05%"
"11.03.2026","99.186,703","14,687","14,711","14,687","955,28K","0,05%"
