"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.05.2026","179.685","176.465","179.735","176.695","13,30M","2,18%"
"19.05.2026","175.844","178.560","178.700","175.200","20,25M","-1,81%"
"18.05.2026","179.090","179.000","179.550","177.580","17,78M","0,02%"
"15.05.2026","179.050","179.000","179.425","177.220","17,10M","-0,78%"
"14.05.2026","180.456","179.055","181.550","179.055","16,73M","0,78%"
"13.05.2026","179.066","182.750","182.900","178.790","19,14M","-1,97%"
"12.05.2026","182.673","183.800","184.090","182.145","18,07M","-0,90%"
"11.05.2026","184.323","187.400","187.400","183.940","18,13M","-1,32%"
"08.05.2026","186.786","186.000","188.255","185.800","16,75M","0,57%"
"07.05.2026","185.735","190.300","190.575","185.180","20,02M","-2,46%"
"06.05.2026","190.426","191.440","192.560","189.635","18,71M","0,54%"
"05.05.2026","189.411","189.525","190.245","188.040","17,27M","0,55%"
"04.05.2026","188.374","189.490","190.870","188.195","17,56M","-1,18%"
"30.04.2026","190.628","188.500","191.035","188.305","15,26M","1,54%"
"29.04.2026","187.738","191.670","191.695","186.865","17,29M","-2,14%"
"28.04.2026","191.852","192.075","192.310","190.550","16,87M","-0,56%"
"27.04.2026","192.939","194.760","195.245","192.600","15,95M","-0,66%"
"24.04.2026","194.213","195.330","195.430","193.430","16,25M","-0,44%"
"23.04.2026","195.077","196.275","197.040","194.425","19,37M","-0,79%"
"22.04.2026","196.630","200.550","200.660","196.120","17,79M","-1,78%"
"20.04.2026","200.186","199.660","200.785","199.175","14,91M","0,11%"
"17.04.2026","199.963","201.525","203.470","199.345","18,33M","-0,51%"
"16.04.2026","200.991","202.065","202.975","200.535","16,69M","1,76%"
"15.04.2026","197.512","198.850","199.140","196.970","1,83M","-0,70%"
"14.04.2026","198.896","198.655","199.570","198.105","16,09M","0,33%"
"13.04.2026","198.235","196.855","198.465","196.295","18,14M","0,37%"
"10.04.2026","197.500","195.925","198.580","195.510","17,70M","0,91%"
"09.04.2026","195.719","192.085","196.150","192.080","19,55M","1,47%"
"08.04.2026","192.884","194.135","195.430","191.570","21,45M","2,10%"
"07.04.2026","188.921","188.160","189.530","186.335","19,50M","0,00%"
"06.04.2026","188.930","189.200","189.990","188.350","15,74M","0,16%"
"02.04.2026","188.620","186.110","190.105","185.330","19,36M","-0,11%"
"01.04.2026","188.833","189.825","190.255","188.060","20,82M","0,15%"
"31.03.2026","188.542","184.900","189.130","184.660","21,13M","2,72%"
"30.03.2026","183.557","182.895","185.485","181.935","18,98M","0,57%"
"27.03.2026","182.521","183.300","184.650","182.010","18,01M","-1,10%"
"26.03.2026","184.549","184.895","186.320","183.725","20,15M","-1,27%"
"25.03.2026","186.919","186.880","187.810","185.450","21,48M","1,64%"
"24.03.2026","183.910","183.500","186.780","181.145","23,24M","0,07%"
"23.03.2026","183.783","179.805","184.600","177.950","23,43M","3,55%"
"20.03.2026","177.474","180.425","181.600","176.385","21,04M","-2,45%"
"19.03.2026","181.930","180.020","183.240","177.480","21,71M","0,44%"
"18.03.2026","181.139","183.075","183.455","180.330","21,07M","-0,57%"
"17.03.2026","182.176","181.945","184.685","180.805","20,40M","0,15%"
"16.03.2026","181.910","181.800","183.320","181.265","17,71M","1,13%"
"13.03.2026","179.871","182.220","183.185","179.260","20,60M","-0,77%"
"12.03.2026","181.263","185.335","185.360","180.520","22,04M","-2,67%"
"11.03.2026","186.230","186.000","188.165","183.625","20,10M","0,24%"
"10.03.2026","185.793","183.790","187.840","182.935","22,87M","1,31%"
"09.03.2026","183.396","180.580","184.525","179.975","22,87M","0,77%"
"06.03.2026","181.994","181.500","183.790","181.010","21,92M","-0,58%"
"05.03.2026","183.047","187.000","188.410","182.440","23,81M","-2,62%"
"04.03.2026","187.965","185.995","189.250","185.935","19,49M","1,34%"
"03.03.2026","185.485","188.750","188.750","183.175","25,56M","-3,53%"
"02.03.2026","192.276","190.135","193.250","189.555","19,39M","0,21%"
"27.02.2026","191.867","194.155","194.300","191.550","17,29M","-1,26%"
"26.02.2026","194.322","194.005","195.035","192.170","17,79M","-0,10%"
"25.02.2026","194.524","196.500","197.760","193.670","15,52M","-0,29%"
"24.02.2026","195.080","192.720","195.395","192.515","16,74M","1,37%"
"23.02.2026","192.450","193.590","194.675","192.050","16,97M","-0,87%"
"20.02.2026","194.139","192.345","194.400","190.260","17,90M","0,98%"
"19.02.2026","192.264","190.465","192.565","189.650","16,52M","3,67%"
"18.02.2026","185.454","186.900","187.925","185.270","962,85K","-0,55%"
"13.02.2026","186.480","187.300","187.540","183.725","17,07M","-0,77%"
"12.02.2026","187.933","190.740","191.225","187.120","21,08M","-1,15%"
"11.02.2026","190.123","187.000","190.955","186.920","19,66M","2,08%"
"10.02.2026","186.258","185.960","187.350","185.460","18,06M","-0,28%"
"09.02.2026","186.780","183.780","187.060","183.580","18,32M","1,77%"
"06.02.2026","183.529","183.860","184.660","181.925","18,41M","0,34%"
"05.02.2026","182.904","182.370","184.870","182.025","20,75M","0,32%"
"04.02.2026","182.327","187.180","187.435","180.935","20,78M","-2,27%"
"03.02.2026","186.553","184.500","188.315","184.490","20,91M","1,48%"
"02.02.2026","183.836","180.820","184.060","180.820","17,23M","0,83%"
"30.01.2026","182.325","183.200","184.765","181.065","21,83M","-1,08%"
"29.01.2026","184.315","187.700","188.780","182.645","20,28M","-0,96%"
"28.01.2026","186.096","184.385","186.460","183.475","20,12M","1,56%"
"27.01.2026","183.231","181.360","184.785","181.270","19,69M","1,74%"
"26.01.2026","180.094","181.100","183.385","179.135","19,01M","-0,18%"
"23.01.2026","180.426","178.510","182.250","177.180","20,18M","1,77%"
"22.01.2026","177.281","173.780","179.710","173.350","21,82M","2,13%"
"21.01.2026","173.592","167.795","173.960","167.795","21,21M","3,45%"
"20.01.2026","167.795","165.800","168.080","164.895","19,04M","0,76%"
"19.01.2026","166.529","165.780","166.855","165.600","10,89M","0,13%"
"16.01.2026","166.317","167.420","167.990","165.805","12,68M","-0,66%"
"15.01.2026","167.418","167.000","168.025","166.625","16,72M","0,16%"
"14.01.2026","167.144","164.050","167.315","163.825","19,96M","2,04%"
