data,ultimo,abertura,maxima,minima,volume,variacao_pct
2026-05-19,110.33,110.33,110.33,110.33,,-0.19
2026-05-18,110.54,110.54,110.54,110.54,,-0.21
2026-05-15,110.77,110.77,110.77,110.77,,-0.31
2026-05-14,111.12,111.12,111.12,111.12,,-0.14
2026-05-13,111.28,111.28,111.28,111.28,,0.15
2026-05-12,111.11,111.11,111.11,111.11,,-0.28
2026-05-11,111.42,111.42,111.42,111.42,,0.44
2026-05-08,110.93,110.93,110.93,110.93,,-0.02
2026-05-07,110.95,110.95,110.95,110.95,,0.08
2026-05-06,110.86,110.86,110.86,110.86,,2.1
2026-05-05,108.58,108.58,108.58,108.58,,0.38
2026-05-04,108.17,108.17,108.17,108.17,,0.29
2026-05-01,107.86,107.86,107.86,107.86,,0.63
2026-04-30,107.18,107.18,107.18,107.18,,0.03
2026-04-29,107.15,107.15,107.15,107.15,,0.03
2026-04-28,107.12,107.12,107.12,107.12,,-0.01
2026-04-27,107.13,107.13,107.13,107.13,,0.03
2026-04-24,107.1,107.1,107.1,107.1,,0.04
2026-04-23,107.06,107.06,107.06,107.06,,-0.05
2026-04-22,107.11,107.11,107.11,107.11,,0.06
2026-04-21,107.05,107.05,107.05,107.05,,-0.04
2026-04-20,107.09,107.09,107.09,107.09,,0.22
2026-04-17,106.85,106.85,106.85,106.85,,-0.24
2026-04-16,107.11,107.11,107.11,107.11,,0.34
2026-04-15,106.75,106.75,106.75,106.75,,0.35
2026-04-14,106.38,106.38,106.38,106.38,,-0.63
2026-04-13,107.05,107.05,107.05,107.05,,0.39
2026-04-10,106.63,106.63,106.63,106.63,,0.34
2026-04-09,106.27,106.27,106.27,106.27,,-1.45
2026-04-08,107.83,107.83,107.83,107.83,,-0.45
2026-04-07,108.32,108.32,108.32,108.32,,0.32
2026-04-06,107.97,107.97,107.97,107.97,,0.48
2026-04-03,107.45,107.45,107.45,107.45,,0.0
2026-04-02,107.45,107.45,107.45,107.45,,-0.06
2026-04-01,107.51,107.51,107.51,107.51,,1.06
2026-03-31,106.38,106.38,106.38,106.38,,0.06
2026-03-30,106.32,106.32,106.32,106.32,,0.09
2026-03-27,106.22,106.22,106.22,106.22,,0.08
2026-03-26,106.14,106.14,106.14,106.14,,0.11
2026-03-25,106.02,106.02,106.02,106.02,,-0.08
2026-03-24,106.1,106.1,106.1,106.1,,0.09
2026-03-23,106.0,106.0,106.0,106.0,,0.1
2026-03-20,105.89,105.89,105.89,105.89,,0.24
2026-03-19,105.64,105.64,105.64,105.64,,0.09
2026-03-18,105.54,105.54,105.54,105.54,,-0.22
2026-03-17,105.77,105.77,105.77,105.77,,0.41
2026-03-16,105.34,105.34,105.34,105.34,,0.19
2026-03-13,105.14,105.14,105.14,105.14,,0.4
2026-03-12,104.72,104.72,104.72,104.72,,1.15
2026-03-11,103.53,103.53,103.53,103.53,,0.3
2026-03-10,103.22,103.22,103.22,103.22,,0.31
2026-03-09,102.9,102.9,102.9,102.9,,0.97
2026-03-06,101.91,101.91,101.91,101.91,,1.01
2026-03-05,100.89,100.89,100.89,100.89,,0.83
2026-03-04,100.06,100.06,100.06,100.06,,0.49
2026-03-03,99.57,99.57,99.57,99.57,,-0.24
2026-03-02,99.81,99.81,99.81,99.81,,0.76
2026-02-27,99.06,99.06,99.06,99.06,,0.03
2026-02-26,99.03,99.03,99.03,99.03,,-0.04
2026-02-25,99.07,99.07,99.07,99.07,,-0.08
2026-02-24,99.15,99.15,99.15,99.15,,-0.12
2026-02-23,99.27,99.27,99.27,99.27,,-0.06
2026-02-20,99.33,99.33,99.33,99.33,,-0.28
2026-02-19,99.61,99.61,99.61,99.61,,-0.13
2026-02-18,99.74,99.74,99.74,99.74,,0.0
2026-02-17,99.74,99.74,99.74,99.74,,0.08
2026-02-13,99.66,99.66,99.66,99.66,,-0.71
2026-02-12,100.37,100.37,100.37,100.37,,-0.22
2026-02-11,100.59,100.59,100.59,100.59,,-0.25
2026-02-10,100.84,100.84,100.84,100.84,,0.21
2026-02-09,100.63,100.63,100.63,100.63,,0.52
2026-02-06,100.11,100.11,100.11,100.11,,-0.91
2026-02-05,101.03,101.03,101.03,101.03,,-1.12
2026-02-04,102.17,102.17,102.17,102.17,,0.01
2026-02-03,102.16,102.16,102.16,102.16,,-0.49
2026-02-02,102.66,102.66,102.66,102.66,,-2.8
2026-01-30,105.62,105.62,105.62,105.62,,-0.14
2026-01-29,105.77,105.77,105.77,105.77,,-0.08
2026-01-28,105.85,105.85,105.85,105.85,,-0.17
2026-01-27,106.03,106.03,106.03,106.03,,-0.11
2026-01-26,106.15,106.15,106.15,106.15,,-0.2
2026-01-23,106.36,106.36,106.36,106.36,,-0.06
2026-01-22,106.42,106.42,106.42,106.42,,-0.04
2026-01-21,106.46,106.46,106.46,106.46,,-0.08
2026-01-20,106.54,106.54,106.54,106.54,,-0.57
2026-01-16,107.15,107.15,107.15,107.15,,-0.22
2026-01-15,107.39,107.39,107.39,107.39,,-0.27
2026-01-14,107.68,107.68,107.68,107.68,,-0.2
2026-01-13,107.9,107.9,107.9,107.9,,-0.32
2026-01-12,108.25,108.25,108.25,108.25,,0.2
2026-01-09,108.03,108.03,108.03,108.03,,0.35
2026-01-08,107.65,107.65,107.65,107.65,,-0.77
2026-01-07,108.48,108.48,108.48,108.48,,1.58
2026-01-06,106.79,106.79,106.79,106.79,,0.62
2026-01-05,106.13,106.13,106.13,106.13,,-0.97
2026-01-02,107.17,107.17,107.17,107.17,,0.04
2025-12-31,107.13,107.13,107.13,107.13,,0.0
2025-12-30,107.13,107.13,107.13,107.13,,0.05
2025-12-29,107.08,107.08,107.08,107.08,,0.08
2025-12-26,106.99,106.99,106.99,106.99,,0.05
2025-12-24,106.94,106.94,106.94,106.94,,-0.01
2025-12-23,106.95,106.95,106.95,106.95,,0.01
2025-12-22,106.94,106.94,106.94,106.94,,0.02
2025-12-19,106.92,106.92,106.92,106.92,,0.02
