coluna,nao_nulos,tipo_inferido
data,4158,object
winfut_open,2834,float64
winfut_high,2834,float64
winfut_low,2834,float64
winfut_close,2834,float64
winfut_volume,2823,float64
winfut_change_pct,2834,float64
usd_brl_open,2970,float64
usd_brl_high,2970,float64
usd_brl_low,2970,float64
usd_brl_close,2970,float64
usd_brl_volume,1032,float64
usd_brl_change_pct,2970,float64
di1_open,2828,float64
di1_high,2828,float64
di1_low,2828,float64
di1_close,2828,float64
di1_volume,2822,float64
di1_change_pct,2828,float64
us2y_close,2958,float64
us2y_open,2958,float64
us2y_high,2958,float64
us2y_low,2958,float64
us2y_volume,0,float64
us2y_change_pct,2958,float64
us10y_close,2972,float64
us10y_open,2969,float64
us10y_high,2969,float64
us10y_low,2969,float64
us10y_volume,0,float64
us10y_change_pct,2969,float64
dxy_close,2961,float64
dxy_open,2961,float64
dxy_high,2961,float64
dxy_low,2961,float64
dxy_volume,140,float64
dxy_change_pct,2961,float64
vix_close,2905,float64
vix_open,2905,float64
vix_high,2905,float64
vix_low,2905,float64
vix_volume,0,float64
vix_change_pct,2905,float64
nasdaq100_close,2862,float64
nasdaq100_open,2862,float64
nasdaq100_high,2862,float64
nasdaq100_low,2862,float64
nasdaq100_volume,2862,float64
nasdaq100_change_pct,2862,float64
sp500_close,2862,float64
sp500_open,2862,float64
sp500_high,2862,float64
sp500_low,2862,float64
sp500_volume,0,float64
sp500_change_pct,2862,float64
petroleo_brent_close,2766,float64
ewz_close,2765,float64
ouro_close,2764,float64
nasdaq_composite_close,2765,float64
selic_meta_ano_pct,4158,float64
ipca_var_mensal_pct,136,float64
pib_usd_milhoes,11,float64
minerio_ferro_ultimo,2862,float64
minerio_ferro_abertura,2862,float64
minerio_ferro_maxima,2862,float64
minerio_ferro_minima,2862,float64
minerio_ferro_volume,445,float64
minerio_ferro_variacao_pct,2862,float64
evento_brasil_focus,4158,int64
evento_brasil_copom,4158,int64
evento_brasil_vencimento_win,4158,int64
eventos_brasil,4018,object
eventos_g6_eua,4018,object
evento_g6_eua_cpi_eua,4158,int64
evento_g6_eua_juros_fed,4158,int64
evento_g6_eua_pib_eua,4158,int64
evento_g6_eua_payroll_nfp,4158,int64
eventos_g6_global,4018,object
evento_g6_global_cpi_eua,4158,int64
evento_g6_global_ipca_brasil,4158,int64
evento_g6_global_juros_fed,4158,int64
evento_g6_global_pib_eua,4158,int64
evento_g6_global_payroll_nfp,4158,int64
